pres_name,year,date,party
Herbert Hoover,1930,"December 2, 1930",Republican
Herbert Hoover,1931,"December 8, 1931",Republican
Herbert Hoover,1932,"December 6, 1932",Republican
Franklin D. Roosevelt,1934,"January 3, 1934",Democratic
Franklin D. Roosevelt,1935,"January 4, 1935",Democratic
Franklin D. Roosevelt,1936,"January 3, 1936",Democratic
Franklin D. Roosevelt,1937,"January 6, 1937",Democratic
Franklin D. Roosevelt,1938,"January 3, 1938",Democratic
Franklin D. Roosevelt,1939,"January 4, 1939",Democratic
Franklin D. Roosevelt,1940,"January 3, 1940",Democratic
Franklin D. Roosevelt,1941,"January 6, 1941",Democratic
Franklin D. Roosevelt,1942,"January 6, 1942",Democratic
Franklin D. Roosevelt,1943,"January 7, 1943",Democratic
Franklin D. Roosevelt,1944,"January 11, 1944",Democratic
Franklin D. Roosevelt,1945,"January 6, 1945",Democratic
Harry S. Truman,1946,"January 21, 1946",Democratic
Harry S. Truman,1947,"January 6, 1947",Democratic
Harry S. Truman,1948,"January 7, 1948",Democratic
Harry S. Truman,1949,"January 5, 1949",Democratic
Harry S. Truman,1950,"January 4, 1950",Democratic
Harry S. Truman,1951,"January 8, 1951",Democratic
Harry S. Truman,1952,"January 9, 1952",Democratic
Harry S. Truman,1953,"January 7, 1953",Democratic
Dwight D. Eisenhower,1953,"February 2, 1953",Republican
Dwight D. Eisenhower,1954,"January 7, 1954",Republican
Dwight D. Eisenhower,1955,"January 6, 1955",Republican
Dwight D. Eisenhower,1956,"January 5, 1956",Republican
Dwight D. Eisenhower,1957,"January 10, 1957",Republican
Dwight D. Eisenhower,1958,"January 9, 1958",Republican
Dwight D. Eisenhower,1959,"January 9, 1959",Republican
Dwight D. Eisenhower,1960,"January 7, 1960",Republican
Dwight D. Eisenhower,1961,"January 12, 1961",Republican
John F. Kennedy,1961,"January 30, 1961",Democratic
John F. Kennedy,1962,"January 11, 1962",Democratic
John F. Kennedy,1963,"January 14, 1963",Democratic
Lyndon B. Johnson,1964,"January 8, 1964",Democratic
Lyndon B. Johnson,1965,"January 4, 1965",Democratic
Lyndon B. Johnson,1966,"January 12, 1966",Democratic
Lyndon B. Johnson,1967,"January 10, 1967",Democratic
Lyndon B. Johnson,1968,"January 17, 1968",Democratic
Lyndon B. Johnson,1969,"January 14, 1969",Democratic
Richard Nixon,1970,"January 22, 1970",Republican
Richard Nixon,1971,"January 22, 1971",Republican
Richard Nixon,1972,"January 20, 1972",Republican
Richard Nixon,1973,"February 2, 1973",Republican
Richard Nixon,1974,"January 30, 1974",Republican
Gerald R. Ford,1975,"January 15, 1975",Republican
Gerald R. Ford,1976,"January 19, 1976",Republican
Gerald R. Ford,1977,"January 12, 1977",Republican
Jimmy Carter,1978,"January 19, 1978",Democratic
Jimmy Carter,1979,"January 25, 1979",Democratic
Jimmy Carter,1980,"January 21, 1980",Democratic
Jimmy Carter,1981,"January 16, 1981",Democratic
Ronald Reagan,1982,"January 26, 1982",Republican
Ronald Reagan,1983,"January 25, 1983",Republican
Ronald Reagan,1984,"January 25, 1984",Republican
Ronald Reagan,1985,"February 6, 1985",Republican
Ronald Reagan,1986,"February 4, 1986",Republican
Ronald Reagan,1987,"January 27, 1987",Republican
Ronald Reagan,1988,"January 25, 1988",Republican
George H.W. Bush,1989,"February 9, 1989",Republican
George H.W. Bush,1990,"January 31, 1990",Republican
George H.W. Bush,1991,"January 29, 1991",Republican
George H.W. Bush,1992,"January 28, 1992",Republican
William J. Clinton,1993,"February 17, 1993",Democratic
William J. Clinton,1994,"January 25, 1994",Democratic
William J. Clinton,1995,"January 24, 1995",Democratic
William J. Clinton,1996,"January 23, 1996",Democratic
William J. Clinton,1997,"February 4, 1997",Democratic
William J. Clinton,1998,"January 27, 1998",Democratic
William J. Clinton,1999,"January 19, 1999",Democratic
William J. Clinton,2000,"January 27, 2000",Democratic
George W. Bush,2001,"February 27, 2001",Republican
George W. Bush,2001,"September 20, 2001",Republican
George W. Bush,2002,"January 29, 2002",Republican
George W. Bush,2003,"January 28, 2003",Republican
George W. Bush,2004,"January 20, 2004",Republican
George W. Bush,2005,"February 2, 2005",Republican
George W. Bush,2006,"January 31, 2006",Republican
George W. Bush,2007,"January 23, 2007",Republican
George W. Bush,2008,"January 28, 2008",Republican
Barack Obama,2009,"February 24, 2009",Democratic
Barack Obama,2010,"January 27, 2010",Democratic
Barack Obama,2011,"January 25, 2011",Democratic
Barack Obama,2012,"January 24, 2012",Democratic
Barack Obama,2013,"February 12, 2013",Democratic
Barack Obama,2014,"January 28, 2014",Democratic
Barack Obama,2015,"January 20, 2015",Democratic
Barack Obama,2016,"January 12, 2016",Democratic
Donald J. Trump,2017,"February 28, 2017",Republican
Donald J. Trump,2018,"January 30, 2018",Republican
Donald J. Trump,2019,"February 5, 2019",Republican
Donald J. Trump,2020,"February 4, 2020",Republican
